StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,Process_Name,Connectors,ApplicationProcessNameStepName
3,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T07:59:10+00:00,Click UI element in window,"List Item in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['List Item'] ClickType: UIAutomationClickTypeLeftClick OffsetX: -58 OffsetY: 2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",5,Go to planner,5d819d61-38fb-4213-a56f-9db9144d7f67,3180,approvals/planner,Planner,TeamsClick UI element in window
4,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T07:59:13+00:00,Press button in window,"Button 'Save' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPressButton Button: appmask['Pane \\'General    Teams, Main Window\\'']['Button \\'Save\\'']\n""]",6,Go to planner,5d819d61-38fb-4213-a56f-9db9144d7f67,3181,approvals/planner,Planner,TeamsPress button in window
5,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T07:59:23+00:00,Click UI element in window,"Hyperlink 'Add a card' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Hyperlink \\'Add a card\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 8 OffsetY: -2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",7,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3182,approvals/planner,Planner,TeamsClick UI element in window
6,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T07:59:32+00:00,Populate text field in window,"Edit 'Enter a title for this card‰Û?' in Pane 'General    Teams, Main Window'; Text:'Book training room'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPopulateTextField TextField: appmask['Pane \\'General    Teams, Main Window\\'']['Edit \\'Enter a title for this card‰Û?\\''] Text: 'Book training room' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",8,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3183,approvals/planner,Planner,TeamsPopulate text field in window
7,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T07:59:37+00:00,Press button in window,"Button 'Add card' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPressButton Button: appmask['Pane \\'General    Teams, Main Window\\'']['Button \\'Add card\\'']\n""]",9,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3184,approvals/planner,Planner,TeamsPress button in window
8,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T07:59:45+00:00,Click UI element in window,"Hyperlink 'Book training room' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Hyperlink \\'Book training room\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 12 OffsetY: -2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",10,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3185,approvals/planner,Planner,TeamsClick UI element in window
9,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T07:59:56+00:00,Press button in window,"Button 'ClockIcon Dates' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPressButton Button: appmask['Pane \\'General    Teams, Main Window\\'']['Button \\'ClockIcon Dates\\'']\n""]",11,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3186,approvals/planner,Planner,TeamsPress button in window
10,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:02+00:00,Click UI element in window,"Data Item '12' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Data Item \\'12\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -7 OffsetY: -7 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomRight\n""]",12,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3187,approvals/planner,Planner,TeamsClick UI element in window
11,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:09+00:00,Press button in window,"Button 'Close popover' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPressButton Button: appmask['Pane \\'General    Teams, Main Window\\'']['Button \\'Close popover\\'']\n""]",13,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3188,approvals/planner,Planner,TeamsPress button in window
12,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:14+00:00,Click UI element in window,"Hyperlink 'Join' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Hyperlink \\'Join\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -16 OffsetY: -5 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",14,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3189,approvals/planner,Planner,TeamsClick UI element in window
13,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:20+00:00,Click UI element in window,"Hyperlink 'Join' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Hyperlink \\'Join\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 25 OffsetY: -5 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",15,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3190,approvals/planner,Planner,TeamsClick UI element in window
14,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:24+00:00,Populate text field in window,"Edit 'Search members' in Pane 'General    Teams, Main Window'; Text:'Name'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPopulateTextField TextField: appmask['Pane \\'General    Teams, Main Window\\'']['Edit \\'Search members\\''] Text: 'Name' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",16,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3191,approvals/planner,Planner,TeamsPopulate text field in window
15,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:30+00:00,Click UI element in window,"Hyperlink 'Name (Name368)' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Hyperlink \\'Name (Name368)\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 36 OffsetY: -13 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomCenter\n""]",17,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3192,approvals/planner,Planner,TeamsClick UI element in window
16,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:40+00:00,Click UI element in window,"Group in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Group'] ClickType: UIAutomationClickTypeLeftClick OffsetX: -3 OffsetY: -2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleRight\n""]",18,Create a plan,b44a0705-dae4-4548-920f-e64f1affacd3,3193,approvals/planner,Planner,TeamsClick UI element in window
17,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:43+00:00,Click UI element in window,"Hyperlink 'Share' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Hyperlink \\'Share\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 5 OffsetY: 0 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",19,Copy the link,73da715d-bd01-4b71-9e69-fb6e83d85b2d,3194,approvals/planner,Planner,TeamsClick UI element in window
18,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:48+00:00,Send keys,TextToSend:'{LControlKey}()',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{LControlKey}()'\n""]",22,Copy the link,73da715d-bd01-4b71-9e69-fb6e83d85b2d,3195,approvals/planner,Planner,Send keys
19,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:50+00:00,Click UI element in window,"Hyperlink 'Copy' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Hyperlink \\'Copy\\''] ClickType: UIAutomationClickTypeLeftButtonDown OffsetX: 84 OffsetY: 6 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",23,Copy the link,73da715d-bd01-4b71-9e69-fb6e83d85b2d,3196,approvals/planner,Planner,TeamsClick UI element in window
20,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:51+00:00,Click UI element in window,"Hyperlink 'Copy' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Hyperlink \\'Copy\\''] ClickType: UIAutomationClickTypeLeftButtonUp\n""]",24,Copy the link,73da715d-bd01-4b71-9e69-fb6e83d85b2d,3197,approvals/planner,Planner,TeamsClick UI element in window
21,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:52+00:00,Send keys,TextToSend:'{LControlKey}({C})',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{LControlKey}({C})'\n""]",25,Copy the link,73da715d-bd01-4b71-9e69-fb6e83d85b2d,3198,approvals/planner,Planner,Send keys
22,8c0705a3-ea71-ec11-8943-00224821072b,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T08:00:55+00:00,Click UI element in window,"Hyperlink in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Hyperlink'] ClickType: UIAutomationClickTypeLeftClick OffsetX: -4 OffsetY: -1 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",26,Copy the link,73da715d-bd01-4b71-9e69-fb6e83d85b2d,3199,approvals/planner,Planner,TeamsClick UI element in window
0,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:57:51+00:00,Select menu option in window,Google Chrome - 2 running windows in Quick Launch Bar,,,"[""UIAutomationSelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 2 running windows']\n""]",2,Go to planner,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4806,approvals/planner,Planner,Select menu option in window
1,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:57:56+00:00,Click UI element in window,List Item 'Mail - NameSurname - Outlook - Google Chrome' in List 'Task Switcher',,Task Switcher,"[""UIAutomationClick Element: appmask['List \\'Task Switcher\\'']['List Item \\'Mail - NameSurname - Outlook - Google Chrome\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 44 OffsetY: 3 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",3,Go to planner,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4807,approvals/planner,Planner,Click UI element in window
2,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:57:58+00:00,Press button in window,Button 'New Tab' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationPressButton Button: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Button \\'New Tab\\'']\n""]",4,Go to planner,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4808,approvals/planner,Planner,chromePress button in window
3,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:58:01+00:00,Populate text field in window,Edit 'Address and search bar' in Pane 'Mail - Name   Chrome - Person 1'; Text:'O365',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Edit \\'Address and search bar\\''] Text: 'O365' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",5,Go to planner,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4809,approvals/planner,Planner,chromePopulate text field in window
4,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:58:02+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboardSendKeys TextToSend: '{Return}'\n""]",6,Go to planner,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4810,approvals/planner,Planner,Send keys
5,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:58:05+00:00,Click UI element in window,Hyperlink ' Office   officecom' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Hyperlink \\' Office   officecom\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 32 OffsetY: 9 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopCenter\n""]",7,Go to planner,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4811,approvals/planner,Planner,chromeClick UI element in window
6,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:58:09+00:00,Click UI element in window,Hyperlink 'Planner' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Hyperlink \\'Planner\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -2 OffsetY: -6 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",8,Go to planner,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4812,approvals/planner,Planner,chromeClick UI element in window
7,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:58:13+00:00,Select menu option in window,Menu Item 'New plan' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationSelectMenuOption Control: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Menu Item \\'New plan\\'']\n""]",9,Create a plan,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4813,approvals/planner,Planner,chromeSelect menu option in window
8,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:58:35+00:00,Populate text field in window,Edit 'Plan name' in Pane 'Mail - Name   Chrome - Person 1'; Text:'Project alpha',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Edit \\'Plan name\\''] Text: 'Project alpha' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",10,Create a plan,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4814,approvals/planner,Planner,chromePopulate text field in window
9,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:58:40+00:00,Press button in window,Button '”ÏChoose a group for your plan' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationPressButton Button: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Button \\'\ue710Choose a group for your plan\\'']\n""]",11,Create a plan,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4815,approvals/planner,Planner,chromePress button in window
10,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:58:45+00:00,Click UI element in window,List Item 'Project RoadMap' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['List Item \\'Project RoadMap\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 62 OffsetY: -14 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomLeft\n""]",12,Create a plan,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4816,approvals/planner,Planner,chromeClick UI element in window
11,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:58:46+00:00,Press button in window,Button 'Create plan' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationPressButton Button: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Button \\'Create plan\\'']\n""]",13,Create a plan,bf95467e-eeb3-4243-9ac8-d04b3aaf23f4,4817,approvals/planner,Planner,chromePress button in window
12,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:58:55+00:00,Press button in window,Button 'Add task card in To do column' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationPressButton Button: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Button \\'Add task card in To do column\\'']\n""]",14,Create Tasks,e0b64de4-b720-4283-8249-c1a015cee245,4818,approvals/planner,Planner,chromePress button in window
13,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:59:03+00:00,Populate text field in window,Edit 'Task name' in Pane 'Mail - Name   Chrome - Person 1'; Text:'Share Guideline',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationPopulateTextField TextField: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Edit \\'Task name\\''] Text: 'Share Guideline' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",15,Create Tasks,e0b64de4-b720-4283-8249-c1a015cee245,4819,approvals/planner,Planner,chromePopulate text field in window
14,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:59:06+00:00,Press button in window,Button '”?à Set due date' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationPressButton Button: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Button \\'\ue787 Set due date\\'']\n""]",16,Create Tasks,e0b64de4-b720-4283-8249-c1a015cee245,4820,approvals/planner,Planner,chromePress button in window
15,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:59:09+00:00,Click UI element in window,"Data Item 'December 16, 2021' in Pane 'Mail - Name   Chrome - Person 1'",chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Data Item \\'December 16, 2021\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -3 OffsetY: 3 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",17,Create Tasks,e0b64de4-b720-4283-8249-c1a015cee245,4821,approvals/planner,Planner,chromeClick UI element in window
16,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:59:12+00:00,Click UI element in window,Text 'Assign' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationClick Element: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Text \\'Assign\\''] ClickType: UIAutomationClickTypeLeftButtonDown OffsetX: -2 OffsetY: -2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",18,Create Tasks,e0b64de4-b720-4283-8249-c1a015cee245,4822,approvals/planner,Planner,chromeClick UI element in window
17,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:59:18+00:00,Press button in window,Button 'Name Surname' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationPressButton Button: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Button \\'Name Surname\\'']\n""]",19,Create Tasks,e0b64de4-b720-4283-8249-c1a015cee245,4823,approvals/planner,Planner,chromePress button in window
18,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:59:30+00:00,Drag and drop UI element in window,Text '”ÏÕ' in Button 'Add task' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationDragAndDropElement MouseDownOffsetY: 0 MouseDownOffsetX: -88 RectangleEdgePointForMouseDown: UIAutomationRectangleEdgePointMiddleRight ControlToDrag: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Button \\'Add task\\''] MouseUpOffsetY: -3 MouseUpOffsetX: 0 RectangleEdgePointForMouseUp: UIAutomationRectangleEdgePointMiddleRight ControlToDropOver: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Text \\'\ue712\\''] ClickType: UIAutomationDragAndDropClickTypeLeftClick\n""]",20,Copy the link,3f85d1b1-b6ee-4c8d-91df-83b51b79381b,4824,approvals/planner,Planner,chromeDrag and drop UI element in window
19,bc5af02d-cc5c-ec11-8f8f-002248302213,5477dec3-815c-ec11-8f8f-002248302213,2021-12-14T10:59:38+00:00,Select menu option in window,Menu Item 'Copy link to plan' in Pane 'Mail - Name   Chrome - Person 1',chrome,Mail - NameSurname - Outlook - Google Chrome - Person 1,"[""UIAutomationSelectMenuOption Control: appmask['Pane \\'Mail - Name   Chrome - Person 1\\'']['Menu Item \\'Copy link to plan\\'']\n""]",21,Copy the link,3f85d1b1-b6ee-4c8d-91df-83b51b79381b,4825,approvals/planner,Planner,chromeSelect menu option in window
0,eb0948ea-be71-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T02:44:26+00:00,Press button in window,Microsoft Teams - 1 running window in Quick Launch Bar,,,"[""UIAutomationPressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",2,Go to planner,d0c34d4e-ebbf-4dc7-bebb-178bde7de9ed,2848,approvals/planner,Planner,Press button in window
1,eb0948ea-be71-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T02:44:29+00:00,Press button in window,"Button 'Add a tab' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationPressButton Button: appmask['Pane \\'General    Teams, Main Window\\'']['Button \\'Add a tab\\'']\n""]",3,Go to planner,d0c34d4e-ebbf-4dc7-bebb-178bde7de9ed,2849,approvals/planner,Planner,TeamsPress button in window
2,eb0948ea-be71-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T02:44:34+00:00,Click UI element in window,"List Item 'Tasks by Planner and To Do' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['List Item \\'Tasks by Planner and To Do\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -1 OffsetY: -36 MousePositionRelativeToElement: UIAutomationRectangleEdgePointBottomCenter\n""]",4,Go to planner,d0c34d4e-ebbf-4dc7-bebb-178bde7de9ed,2850,approvals/planner,Planner,TeamsClick UI element in window
3,eb0948ea-be71-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T02:44:41+00:00,Select radio button in window,"Radio Button 'Create a new plan' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationSelectRadioButton RadioButton: appmask['Pane \\'General    Teams, Main Window\\'']['Radio Button \\'Create a new plan\\'']\n""]",5,Go to planner,d0c34d4e-ebbf-4dc7-bebb-178bde7de9ed,2851,approvals/planner,Planner,TeamsSelect radio button in window
4,eb0948ea-be71-ec11-8943-0022481ea4d8,5477dec3-815c-ec11-8f8f-002248302213,2022-01-10T02:44:43+00:00,Click UI element in window,"Document 'Microsoft Teams Tasks' in Pane 'General    Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomationClick Element: appmask['Pane \\'General    Teams, Main Window\\'']['Document \\'Microsoft Teams Tasks\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 56 OffsetY: -39 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleLeft\n""]",6,Go to planner,d0c34d4e-ebbf-4dc7-bebb-178bde7de9ed,2852,approvals/planner,Planner,TeamsClick UI element in window
